year,biogas,other,exported_Mkg,to_biogas_Mkg,biogas_share_of_exported_%
2018,27123141.0,83437659.0,110.6,27.1,24.5
2019,35669341.3,85503503.2,121.2,35.7,29.4
2020,43882510.7,88141618.2,132.0,43.9,33.2
2021,51588211.7,90506175.1,142.1,51.6,36.3
2022,56275490.5,87280414.2,143.6,56.3,39.2
