OriginalPesticideRowID,companyname,companyregistrationnumber,streetname,streetbuildingidentifier,flooridentifier,postcodeidentifier,city,acreagesize,acreageunit,name,code,pesticidename,pesticideregistrationnumber,dosagequantity,dosageunit,nopesticides,TotalMarkerArea,Difference_PesticideArea_MarkerArea,Percentage_Difference_Marker,TotalGKEAArea,Difference_PesticideArea_GKEAArea,Percentage_Difference_GKEA
225614,,38305735,Kurreholmvej,43,nan,3330,Gørløse,262.0,2,"Permanent græs, normalt udbytte",252,,11-65,0.01965,2,0,22.699999999999996,239.3,1054.1850220264319,,,
12142,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,299.37,2,Vinterraps,22,,19-93,237.5494,4,0,63.14,236.23000000000002,374.13683877098515,,,
12143,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,299.37,2,Vinterraps,22,,396-77,72.4038,2,0,63.14,236.23000000000002,374.13683877098515,,,
12146,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,299.37,2,Vinterraps,22,,396-12,132.5825,4,0,63.14,236.23000000000002,374.13683877098515,,,
12149,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,299.37,2,Vinterraps,22,,64-91,135.4776,4,0,63.14,236.23000000000002,374.13683877098515,,,
12160,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,299.37,2,Vinterraps,22,,48-47,103.72,2,0,63.14,236.23000000000002,374.13683877098515,,,
12172,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,299.37,2,Vinterraps,22,,364-59,141.52,2,0,63.14,236.23000000000002,374.13683877098515,,,
12184,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,299.37,2,Vinterraps,22,,64-72,371.5125,4,0,63.14,236.23000000000002,374.13683877098515,,,
12192,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,299.37,2,Vinterraps,22,,18-665,89.811,4,0,63.14,236.23000000000002,374.13683877098515,,,
12197,,11305806,Boeslunde Byvej,70,nan,4242,Boeslunde,299.37,2,Vinterraps,22,,19-228,89.811,4,0,63.14,236.23000000000002,374.13683877098515,,,
244658,,40660933,Koldinghus Alle,1B,nan,4690,Haslev,421.49,2,Vinterraps,22,,64-72,333.2875,4,0,267.63,153.86,57.48981803235811,,,
244661,,40660933,Koldinghus Alle,1B,nan,4690,Haslev,421.49,2,Vinterraps,22,,396-82,53.326,4,0,267.63,153.86,57.48981803235811,,,
244694,,40660933,Koldinghus Alle,1B,nan,4690,Haslev,421.49,2,Vinterraps,22,,396-12,35.58,4,0,267.63,153.86,57.48981803235811,,,
244698,,40660933,Koldinghus Alle,1B,nan,4690,Haslev,421.49,2,Vinterraps,22,,18-597,186.641,4,0,267.63,153.86,57.48981803235811,,,
244708,,40660933,Koldinghus Alle,1B,nan,4690,Haslev,421.49,2,Vinterraps,22,,19-93,363.93,4,0,267.63,153.86,57.48981803235811,,,
244710,,40660933,Koldinghus Alle,1B,nan,4690,Haslev,421.49,2,Vinterraps,22,,396-77,140.793,2,0,267.63,153.86,57.48981803235811,,,
244718,,40660933,Koldinghus Alle,1B,nan,4690,Haslev,421.49,2,Vinterraps,22,,364-59,2316.48,2,0,267.63,153.86,57.48981803235811,,,
244720,,40660933,Koldinghus Alle,1B,nan,4690,Haslev,421.49,2,Vinterraps,22,,19-207,192.325,4,0,267.63,153.86,57.48981803235811,,,
244728,,40660933,Koldinghus Alle,1B,nan,4690,Haslev,421.49,2,Vinterraps,22,,48-47,125.021,2,0,267.63,153.86,57.48981803235811,,,
244731,,40660933,Koldinghus Alle,1B,nan,4690,Haslev,421.49,2,Vinterraps,22,,64-91,173.223,4,0,267.63,153.86,57.48981803235811,,,
244117,,40619437,Eskemosevej,8,nan,5853,Ørbæk,468.22,2,"Ærter, konsum",424,,1-243,15.88,4,0,328.82,139.40000000000003,42.39401496259353,,,
244118,,40619437,Eskemosevej,8,nan,5853,Ørbæk,468.22,2,"Ærter, konsum",424,,18-417,295.4,4,0,328.82,139.40000000000003,42.39401496259353,,,
244119,,40619437,Eskemosevej,8,nan,5853,Ørbæk,468.22,2,"Ærter, konsum",424,,1-172,28.36,4,0,328.82,139.40000000000003,42.39401496259353,,,
244120,,40619437,Eskemosevej,8,nan,5853,Ørbæk,468.22,2,"Ærter, konsum",424,,19-151,93.644,2,0,328.82,139.40000000000003,42.39401496259353,,,
244123,,40619437,Eskemosevej,8,nan,5853,Ørbæk,468.22,2,"Ærter, konsum",424,,19-205,409.95,4,0,328.82,139.40000000000003,42.39401496259353,,,
244124,,40619437,Eskemosevej,8,nan,5853,Ørbæk,468.22,2,"Ærter, konsum",424,,19-179,409.95,4,0,328.82,139.40000000000003,42.39401496259353,,,
244126,,40619437,Eskemosevej,8,nan,5853,Ørbæk,468.22,2,"Ærter, konsum",424,,396-78,54.72,2,0,328.82,139.40000000000003,42.39401496259353,,,
244127,,40619437,Eskemosevej,8,nan,5853,Ørbæk,468.22,2,"Ærter, konsum",424,,396-77,93.102,2,0,328.82,139.40000000000003,42.39401496259353,,,
145773,,26792770,Lundumvej,20,nan,8700,Horsens,141.17,2,Vårbyg,1,,18-416,0.2275,4,0,4.55,136.61999999999998,3002.6373626373625,,,
145776,,26792770,Lundumvej,20,nan,8700,Horsens,141.17,2,Vårbyg,1,,19-184,1.365,4,0,4.55,136.61999999999998,3002.6373626373625,,,
145780,,26792770,Lundumvej,20,nan,8700,Horsens,141.17,2,Vårbyg,1,,11-69,0.031838,2,0,4.55,136.61999999999998,3002.6373626373625,,,
